name,navicode,latitude,longitude,type,username,expire
스타벅스 강남논현,3232*87,37.507898,127.023339,1,admin,20260806
스타벅스 삼성동,3232*88,37.510843,127.063633,1,admin,20260806
스타벅스 청담역,3232*89,37.519441,127.049553,1,admin,20260806
스타벅스 압구정현대아파트,3232*90,37.525220,127.025660,1,admin,20260806
스타벅스 강남청담빌딩,3232*91,37.517887,127.041375,1,admin,20260806
스타벅스 역삼이마트,3232*92,37.499367,127.048425,1,admin,20260806
스타벅스 강남세곡DT,3232*93,37.466994,127.118331,1,admin,20260806
스타벅스 미아뉴타운,3232*94,37.618319,127.021072,1,admin,20260806
스타벅스 강북구청사거리,3232*95,37.639988,127.027433,1,admin,20260806
스타벅스 미아사거리역,3232*96,37.611809,127.030697,1,admin,20260806
스타벅스 수유역,3232*97,37.638017,127.026135,1,admin,20260806
스타벅스 미아역,3232*98,37.626148,127.026578,1,admin,20260806
스타벅스 수유역5번출구,3232*99,37.636723,127.023322,1,admin,20260806
스타벅스 파라스파라서울,3232*100,37.664196,127.010407,1,admin,20260806
스타벅스 발산역사거리,3232*101,37.558509,126.835096,1,admin,20260806
스타벅스 마곡역,3232*102,37.559611,126.826298,1,admin,20260806
스타벅스 우장산역,3232*103,37.549510,126.836062,1,admin,20260806
스타벅스 마곡사이언스타워R,3232*104,37.560526,126.833887,1,admin,20260806
스타벅스 방화DT,3232*105,37.574457,126.816488,1,admin,20260806
스타벅스 마곡나루역,3232*106,37.568130,126.826140,1,admin,20260806
스타벅스 마곡GMG,3232*107,37.560487,126.829667,1,admin,20260806
스타벅스 가양역,3232*108,37.561640,126.853327,1,admin,20260806
스타벅스 화곡DT,3232*109,37.535011,126.863188,1,admin,20260806
스타벅스 양천향교역,3232*110,37.566964,126.840731,1,admin,20260806
스타벅스 화곡동,3232*111,37.540619,126.837388,1,admin,20260806
스타벅스 등촌,3232*112,37.558204,126.844339,1,admin,20260806
스타벅스 염창역,3232*113,37.547359,126.874436,1,admin,20260806
스타벅스 발산역,3232*114,37.560301,126.839134,1,admin,20260806
스타벅스 까치산역,3232*115,37.532324,126.846123,1,admin,20260806
스타벅스 염창대로,3232*116,37.548548,126.878259,1,admin,20260806
스타벅스 발산역5번출구,3232*117,37.557922,126.840540,1,admin,20260806
스타벅스 화곡역8번출구,3232*118,37.542279,126.839300,1,admin,20260806
스타벅스 강서우장산,3232*119,37.546611,126.836113,1,admin,20260806
스타벅스 등촌대로,3232*120,37.550492,126.866510,1,admin,20260806
스타벅스 가양역사거리,3232*121,37.560070,126.855372,1,admin,20260806
스타벅스 내발산,3232*122,37.554670,126.836720,1,admin,20260806
스타벅스 마곡웰튼,3232*123,37.567143,126.825315,1,admin,20260806
스타벅스 김포공항DT,3232*124,37.566279,126.806066,1,admin,20260806
스타벅스 강서NC,3232*125,37.560088,126.840534,1,admin,20260806
스타벅스 마곡나루공원,3232*126,37.567007,126.822246,1,admin,20260806
스타벅스 송정역,3232*127,37.561056,126.811510,1,admin,20260806
스타벅스 강서구청사거리,3232*128,37.554927,126.852313,1,admin,20260806
스타벅스 낙성대역,3232*129,37.477760,126.961143,1,admin,20260806
스타벅스 관악서울대입구R,3232*130,37.479325,126.952702,1,admin,20260806
스타벅스 신림DT,3232*131,37.480935,126.908407,1,admin,20260806
스타벅스 서울대역,3232*132,37.481663,126.952017,1,admin,20260806
스타벅스 낙성대DT,3232*133,37.476243,126.965117,1,admin,20260806
스타벅스 사당,3232*134,37.476137,126.980928,1,admin,20260806
스타벅스 보라매대교,3232*135,37.491449,126.925432,1,admin,20260806
스타벅스 신림,3232*136,37.486095,126.929160,1,admin,20260806
스타벅스 신림타임스트림,3232*137,37.484071,126.930258,1,admin,20260806
스타벅스 서울대입구역,3232*138,37.481207,126.951401,1,admin,20260806
스타벅스 서울대입구역8번출구,3232*139,37.481206,126.953694,1,admin,20260806
스타벅스 봉천역,3232*140,37.482038,126.942288,1,admin,20260806
스타벅스 건국대,3232*141,37.541559,127.071124,1,admin,20260806
스타벅스 어린이대공원역,3232*142,37.551946,127.076404,1,admin,20260806
스타벅스 아차산역,3232*143,37.550621,127.090032,1,admin,20260806
스타벅스 올림픽대교북단,3232*144,37.541129,127.095240,1,admin,20260806
스타벅스 구의DT,3232*145,37.545298,127.087197,1,admin,20260806
스타벅스 자양사거리,3232*146,37.537116,127.082582,1,admin,20260806
스타벅스 군자역,3232*147,37.557026,127.079110,1,admin,20260806
스타벅스 광나루,3232*148,37.547371,127.106049,1,admin,20260806
스타벅스 건대스타시티,3232*149,37.538544,127.073009,1,admin,20260806
스타벅스 건대입구,3232*150,37.540660,127.070723,1,admin,20260806
스타벅스 구의역,3232*151,37.536980,127.084015,1,admin,20260806
스타벅스 광장,3232*152,37.542613,127.099641,1,admin,20260806
스타벅스 건국클래식,3232*153,37.538466,127.071271,1,admin,20260806
스타벅스 건대후문,3232*154,37.546031,127.073819,1,admin,20260806
스타벅스 중곡역,3232*155,37.565057,127.084452,1,admin,20260806
스타벅스 자양이마트,3232*156,37.537817,127.072597,1,admin,20260806
스타벅스 자양역,3232*157,37.532685,127.067879,1,admin,20260806
스타벅스 화양삼거리,3232*158,37.547749,127.071269,1,admin,20260806
스타벅스 군자사거리,3232*159,37.557695,127.079088,1,admin,20260806
스타벅스 금천구청역,3232*160,37.455887,126.895683,1,admin,20260806
스타벅스 가산에스케이,3232*161,37.480824,126.881001,1,admin,20260806
스타벅스 독산사거리,3232*162,37.471583,126.898606,1,admin,20260806
스타벅스 금천시흥,3232*163,37.448759,126.903239,1,admin,20260806
스타벅스 가산디지털단지역,3232*164,37.481354,126.883589,1,admin,20260806
스타벅스 금천독산,3232*165,37.469571,126.895658,1,admin,20260806
스타벅스 가산디지털,3232*166,37.479970,126.882507,1,admin,20260806
스타벅스 마리오아울렛,3232*167,37.478607,126.884848,1,admin,20260806
스타벅스 가산브이타워,3232*168,37.477004,126.883551,1,admin,20260806
스타벅스 가산그레이트,3232*169,37.479551,126.887272,1,admin,20260806
스타벅스 독산역,3232*170,37.467710,126.887674,1,admin,20260806
스타벅스 가산퍼블릭,3232*171,37.475744,126.886848,1,admin,20260806
스타벅스 가산현대아울렛,3232*172,37.477680,126.888841,1,admin,20260806
스타벅스 가산케이에스,3232*173,37.480894,126.885156,1,admin,20260806
스타벅스 가산어반워크,3232*174,37.480023,126.878251,1,admin,20260806
스타벅스 월계역,3232*175,37.629500,127.057400,1,admin,20260806
스타벅스 월계트레이더스,3232*176,37.628006,127.061354,1,admin,20260806
스타벅스 상계초교사거리,3232*177,37.656776,127.066442,1,admin,20260806
스타벅스 공릉DT,3232*178,37.620688,127.074312,1,admin,20260806
스타벅스 노원마들역,3232*179,37.661026,127.058078,1,admin,20260806
스타벅스 공릉역,3232*180,37.626337,127.072252,1,admin,20260806
스타벅스 은행사거리,3232*181,37.650487,127.075986,1,admin,20260806
스타벅스 노원KT,3232*182,37.654562,127.063617,1,admin,20260806
스타벅스 광운대,3232*183,37.623148,127.060701,1,admin,20260806
스타벅스 중계역,3232*184,37.648170,127.062244,1,admin,20260806
스타벅스 노원역,3232*185,37.654751,127.060034,1,admin,20260806
스타벅스 월계이마트,3232*186,37.627104,127.062079,1,admin,20260806
스타벅스 태릉입구역DT,3232*187,37.619420,127.079320,1,admin,20260806
스타벅스 노원상계,3232*188,37.651535,127.061026,1,admin,20260806
스타벅스 노원구청,3232*189,37.653990,127.057755,1,admin,20260806
스타벅스 창동이마트,3232*190,37.651658,127.046866,1,admin,20260806
스타벅스 쌍문역,3232*191,37.648456,127.034783,1,admin,20260806
스타벅스 도봉구청,3232*192,37.669503,127.046038,1,admin,20260806
스타벅스 쌍문도봉로,3232*193,37.645352,127.033101,1,admin,20260806
