name,navicode,latitude,longitude,type
스타벅스 가양역,3232A108,37.561640,126.853327,1
스타벅스 화곡DT,3232A109,37.535011,126.863188,1
스타벅스 양천향교역,3232A110,37.566964,126.840731,1
스타벅스 화곡동,3232A111,37.540619,126.837388,1
스타벅스 등촌,3232A112,37.558204,126.844339,1
스타벅스 염창역,3232A113,37.547359,126.874436,1
스타벅스 발산역,3232A114,37.560301,126.839134,1
스타벅스 까치산역,3232A115,37.532324,126.846123,1
스타벅스 염창대로,3232A116,37.548548,126.878259,1
스타벅스 발산역5번출구,3232A117,37.557922,126.840540,1
스타벅스 화곡역8번출구,3232A118,37.542279,126.839300,1
스타벅스 강서우장산,3232A119,37.546611,126.836113,1
스타벅스 등촌대로,3232A120,37.550492,126.866510,1
스타벅스 가양역사거리,3232A121,37.560070,126.855372,1
스타벅스 내발산,3232A122,37.554670,126.836720,1
스타벅스 마곡웰튼,3232A123,37.567143,126.825315,1
스타벅스 김포공항DT,3232A124,37.566279,126.806066,1
스타벅스 강서NC,3232A125,37.560088,126.840534,1
스타벅스 마곡나루공원,3232A126,37.567007,126.822246,1
스타벅스 송정역,3232A127,37.561056,126.811510,1
스타벅스 강서구청사거리,3232A128,37.554927,126.852313,1
스타벅스 낙성대역,3232A129,37.477760,126.961143,1
스타벅스 관악서울대입구R,3232A130,37.479325,126.952702,1
스타벅스 신림DT,3232A131,37.480935,126.908407,1
스타벅스 서울대역,3232A132,37.481663,126.952017,1
스타벅스 낙성대DT,3232A133,37.476243,126.965117,1
스타벅스 사당,3232A134,37.476137,126.980928,1
스타벅스 보라매대교,3232A135,37.491449,126.925432,1
스타벅스 신림,3232A136,37.486095,126.929160,1
스타벅스 신림타임스트림,3232A137,37.484071,126.930258,1
스타벅스 서울대입구역,3232A138,37.481207,126.951401,1
스타벅스 서울대입구역8번출구,3232A139,37.481206,126.953694,1
스타벅스 봉천역,3232A140,37.482038,126.942288,1
스타벅스 건국대,3232A141,37.541559,127.071124,1
스타벅스 어린이대공원역,3232A142,37.551946,127.076404,1
스타벅스 아차산역,3232A143,37.550621,127.090032,1
스타벅스 올림픽대교북단,3232A144,37.541129,127.095240,1
스타벅스 구의DT,3232A145,37.545298,127.087197,1
스타벅스 자양사거리,3232A146,37.537116,127.082582,1
스타벅스 군자역,3232A147,37.557026,127.079110,1
스타벅스 광나루,3232A148,37.547371,127.106049,1
스타벅스 건대스타시티,3232A149,37.538544,127.073009,1
스타벅스 건대입구,3232A150,37.540660,127.070723,1
스타벅스 구의역,3232A151,37.536980,127.084015,1
스타벅스 광장,3232A152,37.542613,127.099641,1
스타벅스 건국클래식,3232A153,37.538466,127.071271,1
스타벅스 건대후문,3232A154,37.546031,127.073819,1
스타벅스 중곡역,3232A155,37.565057,127.084452,1
스타벅스 자양이마트,3232A156,37.537817,127.072597,1
스타벅스 자양역,3232A157,37.532685,127.067879,1
스타벅스 화양삼거리,3232A158,37.547749,127.071269,1
스타벅스 군자사거리,3232A159,37.557695,127.079088,1
스타벅스 금천구청역,3232A160,37.455887,126.895683,1
스타벅스 가산에스케이,3232A161,37.480824,126.881001,1
스타벅스 독산사거리,3232A162,37.471583,126.898606,1
스타벅스 금천시흥,3232A163,37.448759,126.903239,1
스타벅스 가산디지털단지역,3232A164,37.481354,126.883589,1
스타벅스 금천독산,3232A165,37.469571,126.895658,1
스타벅스 가산디지털,3232A166,37.479970,126.882507,1
스타벅스 마리오아울렛,3232A167,37.478607,126.884848,1
스타벅스 가산브이타워,3232A168,37.477004,126.883551,1
스타벅스 가산그레이트,3232A169,37.479551,126.887272,1
스타벅스 독산역,3232A170,37.467710,126.887674,1
스타벅스 가산퍼블릭,3232A171,37.475744,126.886848,1
